Title,Year,Director,Literary_Credits,Subjects,Filming_Location,Production_Companies,Distribution_Companies
Uncle Tom's Cabin,1910,Barry O'Neil,Harriet Beecher Stowe ,African Americans|Fathers and daughters|Mississippi River|Mothers and sons|Ohio River|Plantations|Slave auctions|Slavery|Slaves--Runaway|United States--South,New Rochelle New York United States,Thanhouser Film Corp.,Thanhouser Film Corp.
Ramona,1910,D. W. Griffith,Helen Hunt Jackson ,Adoption|California--History--To 1846|Chapels|Exploitation|Indians of North America|Indians of North America--Mixed blood|Orphans|Romance|Spanish Americans,|Los Angeles California United States|Piru California United States,Biograph Co.,Biograph Co.
"Uncle Tom's Cabin, Part 1",1910,Frederick Thomson,Harriet Beecher Stowe ,African Americans|Escapes|Ice floes|Kentucky|Mothers and sons|Ohio River|Plantations|Slavery|Slaves--Runaway|United States--South,,Vitagraph Co. of America,Vitagraph Co. of America
"Uncle Tom's Cabin, Part 2",1910,Frederick Thomson,Harriet Beecher Stowe ,African Americans|Bible|Death and dying|Fathers and daughters|Mississippi River|New Orleans (LA)|Plantations|Slavery|Slaves--Runaway|United States--South,,Vitagraph Co. of America,Vitagraph Co. of America
"Uncle Tom's Cabin, Part 3",1910,Frederick Thomson,Harriet Beecher Stowe ,African Americans|Death and dying|Flogging|Mistresses|Slave auctions|Slavery|Slaves--Runaway|United States--South|Whips and whippings,,Vitagraph Co. of America,Vitagraph Co. of America
Mrs. Wiggs of the Cabbage Patch,1914,Harold Entwhistle ,Alice Hegan Rice,Adoption|Circus performers|Circuses|Bigamy|Desertion (Marital)|Murder|Inheritance|Nephews|Lawyers|Photographs|Rescues|Lockets|Marriage licenses|Stepchildren|Servants|Strikes,,California Motion Picture Corp.,World Film Corp.
Tess of the Storm Country,1914,Edwin S. Porter,Grace Miller White |Rupert Hughes ,Baptism|Class distinction|Family honor|Brothers and sisters|Clergy|Fathers and daughters|Fires|Fishermen|Illegitimacy|Friendship|Reputation|Infants|Self-sacrifice|Murder|Rabbits and hares,Santa Monica California United States,Famous Players Film Co.,State Rights
Uncle Tom's Cabin,1914,William Robert Daly,Harriet Beecher Stowe ,Chases|African Americans|Escapes|Dogs|Plantations|Infants|Pledges|Rescues|Slavery|United States--South,,World Producing Corp.,World Film Corp.
A Romance of Billy Goat Hill,1916,Lynn Reynolds,Alice Hegan Rice ,Betrayal|False accusations|False arrests|Cures|Friendship|Gunfights|Gunshot wounds|Mutes|Trials|Professors|Sharks|Surgery|United States--South,Universal City California United States,Universal Film Mfg Co. ,Universal Film Mfg Co.; Red Feather Photoplays
Judith of the Cumberlands,1916,J. P. McGowan,Alice MacGowan ,Feuds|Cousins|Frame-ups|Falls from heights|Mountain life|Justices of the peace|Rivalry|Lynching|Marriage|Mobs|Moonshiners|Mountaineering,|Los Angeles California United States,Signal Film Corp.,Mutual Film Corp.; A Mutual Star Production 
