film_id,term_id,relevance_weight,assignment_type,assigned_date
1,21,1,auto_mapped,2025-06-16 02:32:45
1,55,2,auto_mapped,2025-06-16 02:32:45
1,32,2,auto_mapped,2025-06-16 02:32:45
1,39,2,auto_mapped,2025-06-16 02:32:45
2,56,2,auto_mapped,2025-06-16 02:32:45
3,9,2,auto_mapped,2025-06-16 02:32:45
4,55,2,auto_mapped,2025-06-16 02:32:45
6,12,1,auto_mapped,2025-06-16 02:32:45
6,34,1,auto_mapped,2025-06-16 02:32:45
6,43,2,auto_mapped,2025-06-16 02:32:45
7,64,2,auto_mapped,2025-06-16 02:32:45
7,30,2,auto_mapped,2025-06-16 02:32:45
7,10,2,auto_mapped,2025-06-16 02:32:45
8,64,2,auto_mapped,2025-06-16 02:32:45
8,21,2,auto_mapped,2025-06-16 02:32:45
8,43,2,auto_mapped,2025-06-16 02:32:45
8,62,2,auto_mapped,2025-06-16 02:32:45
8,46,2,auto_mapped,2025-06-16 02:32:45
8,23,2,auto_mapped,2025-06-16 02:32:45
9,42,1,auto_mapped,2025-06-16 02:32:45
9,62,2,auto_mapped,2025-06-16 02:32:45
9,12,1,auto_mapped,2025-06-16 02:32:45
9,43,2,auto_mapped,2025-06-16 02:32:45
9,31,2,auto_mapped,2025-06-16 02:32:45
9,46,2,auto_mapped,2025-06-16 02:32:45
9,23,2,auto_mapped,2025-06-16 02:32:45
10,21,2,auto_mapped,2025-06-16 02:32:45
11,32,2,auto_mapped,2025-06-16 02:32:45
13,42,1,auto_mapped,2025-06-16 02:32:45
13,34,1,auto_mapped,2025-06-16 02:32:45
15,46,2,auto_mapped,2025-06-16 02:32:45
15,62,1,auto_mapped,2025-06-16 02:32:45
15,35,1,auto_mapped,2025-06-16 02:32:45
16,1,2,auto_mapped,2025-06-16 02:32:45
16,21,1,auto_mapped,2025-06-16 02:32:45
17,12,1,auto_mapped,2025-06-16 02:32:45
17,3,2,auto_mapped,2025-06-16 02:32:45
17,50,2,auto_mapped,2025-06-16 02:32:45
17,30,2,auto_mapped,2025-06-16 02:32:45
17,62,2,auto_mapped,2025-06-16 02:32:45
17,52,2,auto_mapped,2025-06-16 02:32:45
17,43,2,auto_mapped,2025-06-16 02:32:45
17,21,2,auto_mapped,2025-06-16 02:32:45
17,1,2,auto_mapped,2025-06-16 02:32:45
17,8,2,auto_mapped,2025-06-16 02:32:45
18,40,2,auto_mapped,2025-06-16 02:32:45
18,64,2,auto_mapped,2025-06-16 02:32:45
18,62,2,auto_mapped,2025-06-16 02:32:45
18,3,2,auto_mapped,2025-06-16 02:32:45
18,41,2,auto_mapped,2025-06-16 02:32:45
18,8,2,auto_mapped,2025-06-16 02:32:45
18,23,2,auto_mapped,2025-06-16 02:32:45
19,40,2,auto_mapped,2025-06-16 02:32:45
19,34,2,auto_mapped,2025-06-16 02:32:45
19,41,2,auto_mapped,2025-06-16 02:32:45
19,31,2,auto_mapped,2025-06-16 02:32:45
19,56,2,auto_mapped,2025-06-16 02:32:45
20,42,1,auto_mapped,2025-06-16 02:32:45
20,12,1,auto_mapped,2025-06-16 02:32:45
21,31,2,auto_mapped,2025-06-16 02:32:45
21,34,1,auto_mapped,2025-06-16 02:32:45
22,42,1,auto_mapped,2025-06-16 02:32:45
22,62,1,auto_mapped,2025-06-16 02:32:45
22,32,2,auto_mapped,2025-06-16 02:32:45
22,31,2,auto_mapped,2025-06-16 02:32:45
23,38,2,auto_mapped,2025-06-16 02:32:45
24,40,2,auto_mapped,2025-06-16 02:32:45
24,21,2,auto_mapped,2025-06-16 02:32:45
24,12,1,auto_mapped,2025-06-16 02:32:45
24,32,2,auto_mapped,2025-06-16 02:32:45
24,55,2,auto_mapped,2025-06-16 02:32:45
24,39,2,auto_mapped,2025-06-16 02:32:45
24,56,2,auto_mapped,2025-06-16 02:32:45
25,38,2,auto_mapped,2025-06-16 02:32:45
25,37,2,auto_mapped,2025-06-16 02:32:45
25,2,2,auto_mapped,2025-06-16 02:32:45
25,64,2,auto_mapped,2025-06-16 02:32:45
25,35,2,auto_mapped,2025-06-16 02:32:45
25,31,2,auto_mapped,2025-06-16 02:32:45
26,12,1,auto_mapped,2025-06-16 02:32:45
26,21,2,auto_mapped,2025-06-16 02:32:45
27,38,2,auto_mapped,2025-06-16 02:32:45
27,37,2,auto_mapped,2025-06-16 02:32:45
27,2,2,auto_mapped,2025-06-16 02:32:45
27,64,2,auto_mapped,2025-06-16 02:32:45
27,21,1,auto_mapped,2025-06-16 02:32:45
28,12,1,auto_mapped,2025-06-16 02:32:45
28,21,1,auto_mapped,2025-06-16 02:32:45
28,50,2,auto_mapped,2025-06-16 02:32:45
28,41,2,auto_mapped,2025-06-16 02:32:45
28,32,2,auto_mapped,2025-06-16 02:32:45
28,31,2,auto_mapped,2025-06-16 02:32:45
28,43,2,auto_mapped,2025-06-16 02:32:45
29,12,1,auto_mapped,2025-06-16 02:32:45
29,50,2,auto_mapped,2025-06-16 02:32:45
29,21,2,auto_mapped,2025-06-16 02:32:45
