id , afi_movie_id, title                                                         , release_year, release_date     , director                                                                                                    , director_id, writer                                                                                                          , producer                                        , genre              , sub_genre                     , film_type, subjects                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , literary_credits                                , source_citations                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , filming_location                                                                                                                                                                          , created_at         , survival_status, survival_notes                                                                                                    , archive_holdings                , viewing_format, last_verified, music_credits
  1,        18181, Mrs. Wiggs of the Cabbage Patch                               ,         1914, 31 December 1914 , Harold Entwhistle |65893                                                                                    ,       65893,                                                                                                                 , George E. Middleton|59833                       , Comedy|Melodrama   , Carnival/Circus               , Feature  , Adoption|Circus performers|Circuses|Bigamy|Desertion (Marital)|Murder|Inheritance|Nephews|Lawyers|Photographs|Rescues|Lockets|Marriage licenses|Stepchildren|Servants|Strikes                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Alice Hegan Rice |Anne Crawford Flexner         , Motion Picture News 16 Jan 1915||Motography 29 Aug 1914||Motography 17 Oct 1914||Motography 12 Dec 1914||Motography 24 Jul 1915||Moving Picture World 29 Aug 1914||Moving Picture World 12 Sep 1914||Moving Picture World 5 Dec 1914||Moving Picture World 9 Jan 1915||NYDM 22 Jul 1914||NYDM 2 Dec 1914||Variety 1 Jan 1915||Motion Picture News 6 Feb 1915||Motion Picture News 24 Oct 1914||Motography 19 Dec 1914||Moving Picture World 12 Dec 1914||Moving Picture World 19 Dec 1914||Motography 23 Jan 1915||Moving Picture World 2 Jan 1915||Moving Picture World 16 Jan 1915||Motography 1 Aug 1914||Motography 28 Nov 1914||Motion Picture News 28 Nov 1914||Motion Picture News 5 Dec 1914||Motion Picture News 21 Nov 1914||Moving Picture World 24 Oct 1914||Motion Picture News 12 Dec 1914||Moving Picture World 21 Nov 1914                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                           , 2025-06-16 00:24:11, lost           , Lost per LOC                                                                                                      ,                                 ,               , 2025-06-16   , 
  2,        16806, A Romance of Billy Goat Hill                                  ,         1916, 9 October 1916   , Lynn Reynolds|102921                                                                                        ,      102921, Lynn Reynolds|102921                                                                                            ,                                                 , Melodrama          ,                               , Feature  , Betrayal|False accusations|False arrests|Cures|Friendship|Gunfights|Gunshot wounds|Mutes|Trials|Professors|Sharks|Surgery|United States--South                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , Alice Hegan Rice                                , Motion Picture News 7 Oct 1916||Moving Picture World 7 Oct 1916||Moving Picture World 14 Oct 1916||Variety 3 Jun 1916||Wid's 28 Sep 1916||Motion Picture News 14 Oct 1916||Motography 14 Oct 1916||Moving Picture World 19 Aug 1916||New York Clipper 18 Oct 1916||Variety 14 Nov 1913||Billboard 30 Sep 1916                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , Universal City California United States                                                                                                                                                   , 2025-06-16 00:24:13, unknown        ,                                                                                                                   ,                                 ,               , 2025-06-16   , 
  3,        17649, Mr. Opp                                                       ,         1917, 20 August 1917   , Lynn F. Reynolds|102950                                                                                     ,      102950, Lynn F. Reynolds|102950                                                                                         ,                                                 , Drama              ,                               , Feature  , Brothers|Inheritance|Businessmen|Rewards|Coal mines|Self-sacrifice|Half sisters|Mayors|Reporters|Salesmen|Secretaries                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Alice Hegan Rice                                , ETR 25 Aug 1917||Motog 8 Sep 1917||MPW 1 Sep 1917||MPW 5 Mar 1920||NYDM 25 Aug 1917||Variety 24 Aug 1917||Wid's 23 Aug 1917                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                           , 2025-06-16 00:24:15, lost           , Lost per LOC                                                                                                      ,                                 ,               , 2025-06-16   , 
  4,         1996, Sandy                                                         ,         1918, 1 July 1918      , George H. Melford |59050                                                                                    ,       59050, Edith M. Kennedy |43892                                                                                         ,                                                 , Drama              ,                               , Feature  , Adoption|Attempted murder|Bribery|Alcoholics|Immigrants|Aunts|Confession (Law)|Jockeys|Kentucky Derby|Elopement|False accusations|Fixed horse races|Judges|Kentucky|New York City|Ships|Stowaways                                                                                                                                                                                                                                                                                                                                                                                                                                        , Alice Hegan Rice                                , ETR 6 Jul 1918||MPN 6 Jul 1918||MPW 13 Jul 1918||NYDM 6 Jul 1918||New York Times 15 Jul 1918||Variety 19 Jul 1918||Wid's 30 Jun 1918                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                           , 2025-06-16 00:24:16, lost           , Lost per LOC                                                                                                      ,                                 ,               , 2025-06-16   , 
  5,        17262, Sunshine Nan                                                  ,         1918, 11 March 1918    , Charles Giblyn|29387                                                                                        ,       29387, Eve Unsell|50025                                                                                                ,                                                 , Comedy-drama       ,                               , Feature  , Cathedrals|Chemical formulas|Chemists|Choirs (Music)|Confession (Law)|Fraud|Theft|Factories|Fights|Tomboys|Fires|Hospitals|Laboratories|Reformatories|Rescues|Stenographers                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Alice Hegan Rice                                , Exhibitors Trade Review 16 Mar 1918||Motion Picture News 23 Mar 1918||Moving Picture World 16 Mar 1918||Moving Picture World 23 Mar 1918||Variety 19 Apr 1918||Wid's Daily 11 Apr 1918||Moving Picture World 19 Jan 1918||Motion Picture News 26 Jan 1918||Motion Picture News 20 Sep 1919||Motion Picture News 9 Feb 1918||Motion Picture News 16 Feb 1918||Motography 9 Feb 1918||Moving Picture World 16 Feb 1918||Motography 23 Mar 1918||Photoplay Jun 1918||Motography 27 Apr 1918||Motography 4 May 1918||Photoplay Jul 1918                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , New York City New York United States                                                                                                                                                      , 2025-06-16 00:24:18, extant         , In French archive                                                                                                 , Centre National du Cinéma       ,               , 2025-06-16   , 
  6,        18124, Mrs. Wiggs of the Cabbage Patch                               ,         1919, 9 February 1919  , Hugh Ford|71684                                                                                             ,       71684, Eve Unsell|50025                                                                                                ,                                                 , Comedy             , Social                        , Feature  , Disinheritance|Adolescents|Family life|Illegitimacy|Orphanages|Nursing back to health|Sheriffs|Poverty|Runaways                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Alice Hegan Rice                                , Exhibitors Trade Review 1 Mar 1919||Moving Picture World 1 Mar 1919||Moving Picture World 1 Mar 1919||Variety 21 Feb 1919||Wid's 23 Feb 1919                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                           , 2025-06-16 00:24:20, extant         , Available on YouTube                                                                                              ,                                 , online        , 2025-06-16   , 
