On website?,Film Title,Year,Original story (novel or short),Story author,Story Year,Setting,Director,Studio,Genre,Availability,Notes,Film URL,Sources,Research Portfolio Available,Do I have a copy?,notes on my copy
TRUE,Fieldwork Footage,1928,-,-,,Central Florida,Zora Neale Hurston,-,Documentary,DVD,,,,,TRUE,
TRUE,Ethnographic Films,1929,-,-,,Central Florida,Zora Neale Hurston,-,Documentary,DVD,,probably incomplete,,,TRUE,
FALSE,"Commandment Keeper Church, Beaufort South Carolina, May 1940",1940,-,-,,South Carolina,Zora Neale Hurston,-,Documentary,Survives,,,,,FALSE,
TRUE,Mrs. Wiggs of the Cabbage Patch,1914,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,Kentucky,Harold Entwistle,California Motion Picture Co,Drama,Lost,lost per LOC,,,,FALSE,
TRUE,A Romance of Billy-Goat Hill,1916,A Romance of Billy-Goat Hill,Alice Hegan Rice,1912,Deep South,Lynn Reynolds,Universal,Drama,Unknown,,,,,FALSE,
TRUE,Mr. Opp,1917,Mr. Opp,Alice Hegan Rice,1909,Kentucky?,Lynn Reynolds,Bluebird Photoplays,Drama,Lost,lost per LOC,,,,FALSE,
FALSE,Sandy,1918,Sandy,Alice Hegan Rice,1905,Kentucky?,George Melford,Paramount,Drama,Lost,lost per LOC,,,,FALSE,
FALSE,Sunshine Nan,1918,Calvary Alley,Alice Hegan Rice,1917,Kentucky?,Charles Giblyn,Famous Players-Lasky,"Comedy,Drama",Survives,Centre National du Cinéma et de l’image animée [CNC] film archive,,,,FALSE,
FALSE,Mrs. Wiggs of the Cabbage Patch,1919,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,Kentucky,Hugh Ford,Famous Players-Lasky,"Comedy,Drama",Online,,https://www.youtube.com/watch?v=8qCWom9rmGQ,,,TRUE,
FALSE,Lovey Mary,1926,Lovey Mary,Alice Hegan Rice,1903,Kentucky,King Baggot,MGM,"Comedy,Drama",Incomplete,,,,,FALSE,
FALSE,Mrs. Wiggs of the Cabbage Patch,1934,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,Kentucky ,Norman Taurog,Paramount,"Comedy,Drama",DVD,,,,,FALSE,
FALSE,Mrs. Wiggs of the Cabbage Patch,1942,Mrs. Wiggs of the Cabbage Patch,Alice Hegan Rice,1901,Kentucky ,Ralph Murphy,Paramount,"Comedy,Drama",Survives,at ucla,,,,FALSE,
TRUE,Judith of the Cumberlands,1916,Judith of the Cumberlands,Alice MacGowan,1908,Appalachia,J.P. McGowan,Signal Film Corp.,Drama,Lost,lost per LOC,,,,FALSE,
TRUE,Hungry Hearts,1922,Hungry Hearts,Anzia Yezierska,1920,NYC,E. Mason Hopper,Goldwyn Pictures,Drama,DVD,Wikipedia stub,Hungry Hearts,,,FALSE,
TRUE,Salome of the Tenements,1925,Salome of the Tenements,Anzia Yezierska,1923,NYC,Sidney Olcott,Paramount,Drama,Lost,,,,,FALSE,
FALSE,Amarilly of Clothes-Line Alley,1918,Amarilly of Clothes-Line Alley,Belle K. Maniates,1915,northern california - SF,Marshall Neilan,Artcraft Pictures Corporation,"Comedy, Romance",Online,,https://en.wikipedia.org/wiki/Amarilly_of_Clothes-Line_Alley,,,FALSE,
TRUE,The Woman Who Was Forgotten,1930,"""The Woman Who Was Forgotten""",Bess Streeter Aldrich,1926,midwest,Richard Thomas,States Cinema,Drama,Unknown,,,https://langlit.uni.edu/woman-who-was-forgotten,checked,FALSE,
TRUE,Cheers for Miss Bishop,1941,Miss Bishop,Bess Streeter Aldrich,1933,Nebraska,Tay Garnett,United Artists,Drama,Online,,https://watch.amazon.com/detail?asin=B000YFYSCM,,checked,TRUE,
FALSE,The Egg and I,1947,The Egg and I,Betty MacDonald,1945,Pacific Northwest,Chester Erskine,Universal,Comedy,Survives,watched on criterion channel,,,,FALSE,
TRUE,A Tree Grows in Brooklyn,1945,A Tree Grows in Brooklyn,Betty Smith,1943,NYC - brooklyn,Elia Kazan,20th Century Fox,"Drama,Romance",DVD,,,,checked,FALSE,
TRUE,The Member of the Wedding,1953,The Member of the Wedding,Carson McCullers,1946,Deep South,Fred Zinnemann,Columbia,Drama,DVD,stanley kramer film collection,,,,FALSE,
TRUE,Pinky,1949,Quality,Cid Ricketts Sumner,1946,Deep South,Elia Kazan,20th Century Fox,Drama,DVD,,,,,FALSE,
FALSE,Tammy and the Bachelor,1957,Tammy Out of Time,Cid Ricketts Sumner,1948,"Deep South - Natchez, MS",Joseph Pevney,Universal,Romance,DVD,spurred 3 sequels throughout the 60s,,https://www.youtube.com/watch?v=TbRDPZYjNVM,,FALSE,
TRUE,The Hanging Tree,1959,The Hanging Tree,Dorothy M. Johnson,1957,Montana,Delmer Davies,Warner Bros,Western,DVD,,,,checked,FALSE,
FALSE,That Hagen Girl,1947,That Hagen Girl,Edith Roberts,1946,Great Lakes Region - Ohio,Peter Godfrey,Warner Bros,Drama,DVD,,,,,FALSE,
FALSE,So Big,1924,So Big,Edna Ferber,1924,Chicago,Charles Brabin,First National,Drama,Lost,,,,,FALSE,
TRUE,Cimarron,1931,Cimarron,Edna Ferber,1930,Oklahoma,Wesley Ruggles,RKO,,DVD,,,,,FALSE,
FALSE,So Big,1932,So Big,Edna Ferber,1924,Chicago,William A. Wellman,Warner Bros,Drama,Survives,,,,,FALSE,
FALSE,Come and Get It,1936,Come and Get It,Edna Ferber,1935,"Wisconsin, logging","Howard Hawks, William Wyler",Howard Productions Inc,,DVD,,,,,FALSE,
FALSE,So Big,1953,So Big,Edna Ferber,1924,Chicago,Robert Wise,Warner Bros,Drama,Survives,,,,,FALSE,
TRUE,Giant,1956,Giant,Edna Ferber,1952,Texas,George Stevens,Warner Bros,Western,DVD,,,,,TRUE,
TRUE,Cimarron,1960,Cimarron,Edna Ferber,1930,Oklahoma,Anthony Mann,MGM,Western,DVD,,,,,TRUE,
FALSE,Ice Palace,1960,Ice Palace,Edna Ferber,1958,Alaska,Vincent Sherman,Warner Bros,,DVD,at ucla; dvd may be out of print,,,,FALSE,
TRUE,Underworld,1937,"""Chicago After Midnight""",Edna Mae Baker,,Chicago,Oscar Micheaux,Micheaux Pictures,,Online,,,,,TRUE,
FALSE,Dawn,1919,Dawn,Eleanor H. Porter,1919,? school for the blind,J. Stuart Blackton,J. Stuart Blackton Feature Pictures,Drama,Unknown,,,,,FALSE,
TRUE,Pollyanna,1920,Pollyanna,Eleanor H. Porter,1913,Vermont,Paul Powell,Mary Pickford Company,Drama,Online,Pickford's first film for United Artists,,,,TRUE,
FALSE,Has Anybody Seen My Gal,1952,Oh Money Money,Eleanor H. Porter,1918,Vermont,Douglas Sirk,Universal,Comedy,,,,,,FALSE,
FALSE,Pollyanna,1960,Pollyanna,Eleanor H. Porter,1913,Vermont,David Swift,Disney,Drama,DVD,streaming on disney+,,,,FALSE,
TRUE,Kildare of Storm,1918,"""Kildares of Storm""",Eleanor Mercein Kelly,1916,Appalachia - KY,Harry L. Franklin,Metro Pictures,Drama,Lost,lost per LOC,,,,FALSE,
FALSE,In This Our Life,1942,In This Our Life,Ellen Glasgow,1941,Virginia/MD,John Huston,Warner Bros,Melodrama,DVD,,,,,TRUE,
TRUE,Humoresque,1920,Humoresque,Fannie Hurst,1919,NYC,Frank Borzage,Cosmopolitan Productions,Drama,Online,terrible quality online :(,"Humoresque : Frances Marion : Free Download, Borrow, and Streaming : Internet Archive",,,TRUE,
FALSE,Just Around the Corner,1921,“The Superman”,Fannie Hurst,1914,NYC,Frances Marion,Cosmopolitan Productions,Melodrama,Survives,Screened at Pordenone; at UCLA,,,,FALSE,
FALSE,The Good Provider,1922,The Good Provider,Fannie Hurst,1914,NYC,Frank Borzage,Cosmopolitan Productions,Melodrama,Unknown,,,,,FALSE,
TRUE,Back Street,1932,Back Street,Fannie Hurst,1931,NYC,John M. Stahl,Universal,Drama,Online,,Back Street (1932),,,TRUE,
FALSE,Imitation of Life,1934,Imitation of Life,Fannie Hurst,1933,northeast atlantic coast - NJ shore,John M. Stahl,Universal,Drama,DVD,,,,,FALSE,
FALSE,Back Street,1941,Back Street,Fannie Hurst,1931,NYC,Robert Stevenson,Universal,Drama,DVD,,,,,FALSE,
FALSE,Humoresque,1946,Humoresque,Fannie Hurst,1919,NYC,Jean Negulesco,Warner Bros,Melodrama,DVD,,,,,FALSE,
FALSE,Back Street,1948,Back Street,Fannie Hurst,1931,northern california - SF,Esther Eng,Silver Light,Drama,Lost,Chinese-American adaptation set in San Francisco,,,,FALSE,
TRUE,Imitation of Life,1959,Imitation of Life,Fannie Hurst,1933,NYC,Douglas Sirk,Universal,"Drama, Melodrama",DVD,,,,checked,FALSE,
FALSE,Back Street,1961,Back Street,Fannie Hurst,1931,NYC,David Miller,Universal,Drama,DVD,,,,,FALSE,
FALSE,Gene of the Northland,1915,,Gene Gauntier,,Pacific Northwest,J.J. Clark,Bison Motion Pictures,,Unknown,,,,,FALSE,
TRUE,Freckles,1917,Freckles,Gene Stratton-Porter,1904,Limberlost,Marshall Neilan,Paramount,Drama,Lost,Wikipedia stub,,,,FALSE,
FALSE,Michael O'Halloran,1923,Michael O'Halloran,Gene Stratton-Porter,1915,Limberlost,James Leo Meehan,Gene Stratton Porter Productions,Melodrama,Lost,Wikipedia stub,,,,FALSE,
FALSE,A Girl of the Limberlost,1924,A Girl of the Limberlost,Gene Stratton-Porter,1909,Limberlost,James Leo Meehan,Gene Stratton Porter Productions,Drama,Lost,No WP article,,,,FALSE,
TRUE,The Keeper of the Bees,1925,The Keeper of the Bees,Gene Stratton-Porter,1925,Southern California,James Leo Meehan,Gene Stratton Porter Productions,Drama,Lost,,,,,FALSE,
FALSE,Laddie,1926,Laddie,Gene Stratton-Porter,1913,Limberlost,James Leo Meehan,Gene Stratton Porter Productions,"Drama,Romance",Lost,No WP article,,,,FALSE,
FALSE,The Harvester,1927,The Harvester,Gene Stratton-Porter,1911,Limberlost,James Leo Meehan,Robertson-Cole Pictures Corp,"Drama,Romance",Lost,No WP article,,,,FALSE,
FALSE,The Magic Garden,1927,The Magic Garden,Gene Stratton-Porter,1927,?,James Leo Meehan,Gene Stratton Porter Productions,Drama,Lost,No WP article,,,,FALSE,
FALSE,Freckles,1928,Freckles,Gene Stratton-Porter,1904,Limberlost,James Leo Meehan,Film Booking Office,Drama,Lost,No WP article,,,,FALSE,
TRUE,A Girl of the Limberlost,1934,A Girl of the Limberlost,Gene Stratton-Porter,1909,Limberlost,Christy Cabanne,Monogram,Drama,Online,,,,,TRUE,
FALSE,Freckles,1935,Freckles,Gene Stratton-Porter,1904,Limberlost,Edward Killy and William Hamilton,RKO,Drama,Survives,"private collection, screened at Cinefest 2010",,https://www.nitrateville.com/viewtopic.php?t=24948 ; https://nitrateville.com/viewtopic.php?f=4&t=4139&start=60,,FALSE,
FALSE,Laddie,1935,Laddie,Gene Stratton-Porter,1913,Limberlost,George Stevens,RKO,"Comedy,Drama",Unknown,,,,,FALSE,
TRUE,The Keeper of the Bees,1935,The Keeper of the Bees,Gene Stratton-Porter,1925,Southern California,Christy Cabanne,Monogram,Drama,Online,,,,,TRUE,
FALSE,The Harvester,1936,The Harvester,Gene Stratton-Porter,1911,Limberlost,Joseph Santley,Republic,Comedy,Survives,at ucla,,,,FALSE,
FALSE,Michael O'Halloran,1937,Michael O'Halloran,Gene Stratton-Porter,1915,Limberlost,Karl Brown,Republic,Melodrama,Incomplete,"at UCLA? private collection, missing a reel, shown at Cinefest 2006",,https://www.nitrateville.com/viewtopic.php?t=24948,,FALSE,
TRUE,Romance of the Limberlost,1938,A Girl of the Limberlost,Gene Stratton-Porter,1909,Limberlost,William Nigh,Monogram,Drama,Online,,,,,TRUE,
TRUE,Her First Romance,1940,Her Father's Daughter,Gene Stratton-Porter,1921,Southern California,Edward Dmytryk,Monogram,Drama,Unknown,,,,,FALSE,
TRUE,Laddie,1940,Laddie,Gene Stratton-Porter,1913,Limberlost,Jack Hively,RKO,Drama,Online,,,,,TRUE,
FALSE,A Girl of the Limberlost,1945,A Girl of the Limberlost,Gene Stratton-Porter,1909,Limberlost,Mel Ferrer,Columbia,Drama,Unknown,,,,,FALSE,
TRUE,Keeper of the Bees,1947,The Keeper of the Bees,Gene Stratton-Porter,1925,Southern California,John Sturges,Columbia,Drama,Unknown,private collection? https://nitrateville.com/viewtopic.php?f=4&t=12955&p=93497&hilit=girl+of+the+limberlost#p93497,,,,FALSE,
FALSE,Michael O'Halloran,1948,Michael O'Halloran,Gene Stratton-Porter,1915,Limberlost,John Rawlins,Windsor Pictures Corp. (distributed by Monogram),Drama,Survives,"at ucla; Windsor had planned 3 more GSP films (Freckles, Laddie, The Harvester) but made none of them",,,,FALSE,
FALSE,Freckles,1960,Freckles,Gene Stratton-Porter,1904,Limberlost,Andrew McLaglen,20th Century Fox,Drama,Survives,Filmed in San Bernadino National Park in CinemaScope,,,,FALSE,
FALSE,Freckles Comes Home,1942,Freckles & Freckles Comes Home,Gene Stratton-Porter & Jeanette Porter Meehan,,Limberlost,Jean Yarborough,Monogram,"Comedy, Drama",Online,,,,,FALSE,
FALSE,The Panther Woman,1918,Patience Sparhawk and Her Times,Gertrude Atherton,1897,"Monterey, CA (coastal central CA)",Ralph Ince,Petrova Picture Company,Drama,Lost,lost per LOC,,,,FALSE,
TRUE,Tess of the Storm Country,1914,Tess of the Storm Country,Grace Miller White,1909,"Ithaca, NY",Edwin S. Porter,Famous Players Film Company,Drama,Online,at UCLA; was on DVD in high quality but now out of print,,,,TRUE,okay quality (better than previous clip version)
TRUE,The Secret of the Storm Country,1917,The Secret of the Storm Country,Grace Miller White,1917,"Ithaca, NY",Charles Miller,Norma Talmadge Film Corporation,Drama,Lost,,,,,FALSE,
FALSE,Judy of Rogue’s Harbor,1920,Judy of Rogue’s Harbor,Grace Miller White,1918,"Ithaca, NY",William Desmond Taylor,Realart Pictures Corporation,Drama,Lost,,,,,FALSE,
TRUE,Polly of the Storm Country,1920,Storm Country Polly,Grace Miller White,1920,"Ithaca, NY",Arthur Rossen,Chaplin-Mayer Pictures Company,Drama,Lost,,,,,FALSE,
FALSE,Tess of the Storm Country,1922,Tess of the Storm Country,Grace Miller White,1909,"Ithaca, NY",John S. Robertson,United Artists,Melodrama,Online,,"Tess of Storm Country (Mary Pickford, 1914 and 1922 versions) : Free Download, Borrow, and Streaming",,,TRUE,
FALSE,Tess of the Storm Country,1932,Tess of the Storm Country,Grace Miller White,1909,"Ithaca, NY",Alfred Santell,Fox Film Corporation,Drama,Survives,"at UCLA, screened at MOMA",,,,FALSE,
FALSE,Tess of the Storm Country,1960,Tess of the Storm Country,Grace Miller White,1909,"Ithaca, NY",Paul Guilfoyle,20th Century Fox,Drama,Survives,at ucla,,,,FALSE,
TRUE,Uncle Tom's Cabin,1910,Uncle Tom's cabin,Harriet Beecher Stowe,1852,Deep South,Barry O'Neil,Thanhauser,Drama,Lost,,,,,FALSE,
TRUE,Uncle Tom's Cabin parts 1-3,1910,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,Deep South,Frederick A. Thomson,Vitagraph,Melodrama,Incomplete,,,,,FALSE,
