Title,Year,Director,Literary_Credits,Subjects,Filming_Location,Production_Companies,Distribution_Companies
Uncle Tom's Cabin,1910,Barry O'Neil|18189,Harriet Beecher Stowe ,African Americans|Fathers and daughters|Mississippi River|Mothers and sons|Ohio River|Plantations|Slave auctions|Slavery|Slaves--Runaway|United States--South,New Rochelle New York United States,Thanhouser Film Corp.,Thanhouser Film Corp.
Ramona,1910,D. W. Griffith|34832,Helen Hunt Jackson ,Adoption|California--History--To 1846|Chapels|Exploitation|Indians of North America|Indians of North America--Mixed blood|Orphans|Romance|Spanish Americans,|Los Angeles California United States|Piru California United States,Biograph Co.,Biograph Co.
Mrs. Wiggs of the Cabbage Patch,1914,Harold Entwhistle |65893,Alice Hegan Rice |Anne Crawford Flexner ,Adoption|Circus performers|Circuses|Bigamy|Desertion (Marital)|Murder|Inheritance|Nephews|Lawyers|Photographs|Rescues|Lockets|Marriage licenses|Stepchildren|Servants|Strikes,,California Motion Picture Corp.,World Film Corp.
Tess of the Storm Country,1914,,Grace Miller White |Rupert Hughes ,Baptism|Class distinction|Family honor|Brothers and sisters|Clergy|Fathers and daughters|Fires|Fishermen|Illegitimacy|Friendship|Reputation|Infants|Self-sacrifice|Murder|Rabbits and hares,Santa Monica California United States,Famous Players Film Co.,State Rights
Uncle Tom's Cabin,1914,William Robert Daly|157367,George L. Aiken |Harriet Beecher Stowe ,Chases|African Americans|Escapes|Dogs|Plantations|Infants|Pledges|Rescues|Slavery|United States--South,,World Producing Corp.,World Film Corp.
A Romance of Billy Goat Hill,1916,Lynn Reynolds|102921,Alice Hegan Rice ,Betrayal|False accusations|False arrests|Cures|Friendship|Gunfights|Gunshot wounds|Mutes|Trials|Professors|Sharks|Surgery|United States--South,Universal City California United States,Universal Film Mfg Co. ,Universal Film Mfg Co.; Red Feather Photoplays
Judith of the Cumberlands,1916,J. P. McGowan|74760,Alice MacGowan ,Feuds|Cousins|Frame-ups|Falls from heights|Mountain life|Justices of the peace|Rivalry|Lynching|Marriage|Mobs|Moonshiners|Mountaineering,|Los Angeles California United States,Signal Film Corp.,Mutual Film Corp.; A Mutual Star Production 
The Place Beyond the Winds,1916,Joseph De Grasse|89306,Harriet Theresa Comstock ,Disease|Canada|Mountains|Fathers and daughters|Murder|Fugitives|Tenement-houses|Nurses|Puritanism,|Universal City California United States,Universal Film Mfg Co. ,Universal Film Mfg Co.; Red Feather Photoplays
Ramona,1916,Donald Crisp|40050,Helen Hunt Jackson ,California--History|Murder|Frontier and pioneer life|Scots|Indians of North America--Mixed blood|Indians of North America|Racism,San Diego California United States|Hollywood California United States||Santa Paula California United States||Santa Barbara California United States|San Francisco California United States,Clune Film Producing Co.,State Rights
The Awakening of Helena Richie,1916,John W. Noble|88014,Margaret Deland ,Adoption|Alcoholics|Mothers and sons|Clergy|Ostracism|Infanticide|Infidelity|Philanderers|Self-sacrifice|Village life,,"Rolfe Photoplays, Inc.",Metro Pictures Corp.
The Iron Woman,1916,Carl Harbaugh|26720,Margaret Deland ,Friendship|Divorce|Industrial accidents|Gratitude|Mill owners|Marriage|Motherhood|Seduction|Physicians,Fort Lee New Jersey United States|Bethlehem Pennsylvania United States,"Popular Plays and Players, Inc.",Metro Pictures Corp.
Mr. Opp,1917,Lynn F. Reynolds|102950,Alice Hegan Rice ,Brothers|Inheritance|Businessmen|Rewards|Coal mines|Self-sacrifice|Half sisters|Mayors|Reporters|Salesmen|Secretaries,,"Bluebird Photoplays, Inc.","Bluebird Photoplays, Inc."
Freckles,1917,Marshall Neilan|107701,Gene Stratton-Porter ,Handicapped|Children|Inheritance|Grandfathers|Self-sacrifice|Lumber camps|Missing persons|Waifs|Naturalists|Runaways,,Jesse L. Lasky Feature Play Co. ,Paramount Pictures Corp.
The Secret of the Storm Country,1917,Charles Miller|29762,Grace Miller White ,Bigamy|Heart disease|Marriage--Secret|Heiresses|Mothers and sons|Ostracism|Squatters,Ithaca New York United States|New York City New York United States,Norma Talmadge Film Corp.,Select Pictures Corp.
A Son of the Hills,1917,Harry Davenport|66613,Harriet Theresa Comstock ,Divorce|Factories|Education|Industrialists|North Carolina|Jealousy|Mountains|Runaways|Stepmothers,Canton Pennsylvania United States,Vitagraph Co. of America,Greater Vitagraph (V-L-S-E)
Rebecca of Sunnybrook Farm,1917,Marshall Neilan|107701,Kate Douglas Wiggin ,Boarding schools|Aunts|Farms|Nieces|Spinsters|Mortgages|Practical jokes|Youth,Pleasanton California United States,Mary Pickford Film Corp.,Artcraft Pictures Corp.
An Alabaster Box,1917,Chester Withey |31201,Florence Morse Kingsley |Mary Eleanor (Wilkins) Freeman ,Businessmen|Ex-convicts|Embezzlement|Mobs|Employer-employee relations|New England|Fathers and daughters|Impersonation and imposture,Brooklyn New York United States,Vitagraph Co. of America; A Blue Ribbon Feature,Greater Vitagraph (V-L-S-E)
The Primrose Ring,1917,Robert Leonard|132129,Ruth Sawyer ,Charity|Automobile accidents|Convalescence|Children|Detectives|Handicapped|Hospitals|Physicians|Nurses|Surgeons,Hollywood California United States|New York City New York United States,Jesse L. Lasky Feature Play Co. ,Paramount Pictures Corp.
Sandy,1918,George H. Melford |59050,Alice Caldwell Hegan Rice ,Adoption|Attempted murder|Bribery|Alcoholics|Immigrants|Aunts|Confession (Law)|Jockeys|Kentucky Derby|Elopement|False accusations|Fixed horse races|Judges|Kentucky|New York City|Ships|Stowaways,,Famous Players-Lasky Corp.,"Famous Players-Lasky Corp.,Paramount Pictures "
Sunshine Nan,1918,Charles Giblyn|29387,Alice Caldwell Hegan Rice ,Cathedrals|Chemical formulas|Chemists|Choirs (Music)|Confession (Law)|Fraud|Theft|Factories|Fights|Tomboys|Fires|Hospitals|Laboratories|Reformatories|Rescues|Stenographers,New York City New York United States,Famous Players-Lasky Corp.,Famous Players-Lasky Corp.; Paramount Pictures
Amarilly of Clothes-Line Alley,1918,Marshall A. Neilan |107701,Belle K. Maniates ,Aunts|Bartenders|Cigarette girls|Butlers|Class distinction|Dancing|Experiments|Irish Americans|Laundresses|Sculptors|Nursing back to health|Tenement-houses,Hollywood California United States,Mary Pickford Film Corp.,Famous Players-Lasky Corp.
Kildare of Storm,1918,Harry L. Franklin|67519,Eleanor Mercein Kelly ,Alcoholics|Child custody|Confession (Law)|False arrests|Imprisonment|Fights|Illegitimacy|Marriage--Arranged|Infidelity|Physicians|Mothers and daughters|Plantations|Planters|Pardons|Servants|Southerners|United States--South,Rye New York United States|New York City New York United States,Metro Pictures Corp.,Metro Pictures Corp.
