film_id,film_title,film_year,literary_credits,source_title,source_type,source_year,source_publisher,adaptation_notes
4,Sandy,1918,Alice Caldwell Hegan Rice ,,,,,
5,Sunshine Nan,1918,Alice Caldwell Hegan Rice ,,,,,
6,Mrs. Wiggs of the Cabbage Patch,1919,Alice Caldwell Hegan Rice ,,,,,
2,A Romance of Billy Goat Hill,1916,Alice Hegan Rice ,,,,,
3,Mr. Opp,1917,Alice Hegan Rice ,,,,,
7,Lovey Mary,1926,Alice Hegan Rice ,,,,,
1,Mrs. Wiggs of the Cabbage Patch,1914,Alice Hegan Rice |Anne Crawford Flexner ,,,,,
8,Mrs. Wiggs of the Cabbage Patch,1934,Alice Hegan Rice |Anne Crawford Flexner ,,,,,
9,Mrs. Wiggs of the Cabbage Patch,1942,Alice Hegan Rice |Anne Crawford Flexner ,,,,,
10,Judith of the Cumberlands,1916,Alice MacGowan ,,,,,
11,Hungry Hearts,1922,Anzia Yezierska ,,,,,
12,Salome of the Tenements,1925,Anzia Yezierska ,,,,,
13,Amarilly of Clothes-Line Alley,1918,Belle K. Maniates ,,,,,
14,The Woman Who Was Forgotten,1930,Bess Streeter Aldrich ,,,,,
15,Cheers for Miss Bishop,1941,Bess Streeter Aldrich ,,,,,
16,The Egg and I,1947,Betty MacDonald ,,,,,
106,Green Grass of Wyoming,1948,Burl Ives |Mary O'Hara ,,,,,
18,The Member of the Wedding,1953,C. D. Martin |Charles H. Gabriel |Carson McCullers |Oliver Rea |Robert Whitehead |Stanley Martineau ,,,,,
81,Topsy and Eva,1927,Catherine Chisholm Cushing ,,,,,
19,Pinky,1949,Cid Ricketts Sumner ,,,,,
112,The Vanishing Virginian,1942,Earl Brent |Henry Thacker Burleigh |Robert Burns |Minnaletha White |Johann Strauss II |Hughie Cannon |Rebecca Yancey Williams ,,,,,
22,That Hagen Girl,1947,Edith Roberts ,,,,,
23,So Big,1924,Edna Ferber ,,,,,
24,Cimarron,1931,Edna Ferber ,,,,,
25,So Big,1932,Edna Ferber ,,,,,
27,So Big,1953,Edna Ferber ,,,,,
30,Ice Palace,1960,Edna Ferber ,,,,,
68,Freckles Comes Home,1942,Edward J. Kay |Eddie Cherkose |Gene Stratton-Porter ,,,,,
32,Dawn,1919,Eleanor H. Porter ,,,,,
33,Pollyanna,1920,Eleanor H. Porter ,,,,,
36,Kildare of Storm,1918,Eleanor Mercein Kelly ,,,,,
37,In This Our Life,1942,Ellen Glasgow ,,,,,
38,Humoresque,1920,Fannie Hurst ,,,,,
39,Just Around the Corner,1921,Fannie Hurst ,,,,,
40,The Good Provider,1922,Fannie Hurst ,,,,,
41,Back Street,1932,Fannie Hurst ,,,,,
42,Imitation of Life,1934,Fannie Hurst ,,,,,
43,Back Street,1941,Fannie Hurst ,,,,,
109,An Alabaster Box,1917,Florence Morse Kingsley |Mary Eleanor (Wilkins) Freeman ,,,,,
17,A Tree Grows in Brooklyn,1945,Frederick Oakeley |John Francis Wade |James Ramsey Murray |Isaac Watts |Joseph Handel |Joseph Mohr |Franz Gruber |William Douglas |Lady John Scott |Betty Smith ,,,,,
47,Freckles,1917,Gene Stratton-Porter ,,,,,
48,Michael O'Halloran,1923,Gene Stratton-Porter ,,,,,
49,A Girl of the Limberlost,1924,Gene Stratton-Porter ,,,,,
50,The Keeper of the Bees,1925,Gene Stratton-Porter ,,,,,
51,Laddie,1926,Gene Stratton-Porter ,,,,,
52,The Harvester,1927,Gene Stratton-Porter ,,,,,
53,The Magic Garden,1927,Gene Stratton-Porter ,,,,,
54,Freckles,1928,Gene Stratton-Porter ,,,,,
55,A Girl of the Limberlost,1934,Gene Stratton-Porter ,,,,,
56,Freckles,1935,Gene Stratton-Porter ,,,,,
57,Laddie,1935,Gene Stratton-Porter ,,,,,
58,The Keeper of the Bees,1935,Gene Stratton-Porter ,,,,,
59,The Harvester,1936,Gene Stratton-Porter ,,,,,
60,Michael O'Halloran,1937,Gene Stratton-Porter ,,,,,
61,Romance of the Limberlost,1938,Gene Stratton-Porter ,,,,,
63,Laddie,1940,Gene Stratton-Porter ,,,,,
64,The Girl of the Limberlost,1945,Gene Stratton-Porter ,,,,,
65,Keeper of the Bees,1947,Gene Stratton-Porter ,,,,,
66,Michael O'Halloran,1948,Gene Stratton-Porter ,,,,,
78,Uncle Tom's Cabin,1914,George L. Aiken |Harriet Beecher Stowe ,,,,,
79,Uncle Tom's Cabin,1918,George L. Aiken |Harriet Beecher Stowe ,,,,,
26,Come and Get It,1936,George R. Poulton |W. W. Fosdick |Edna Ferber ,,,,,
69,The Panther Woman,1918,Gertrude Atherton ,,,,,
71,The Secret of the Storm Country,1917,Grace Miller White ,,,,,
72,Judy of Rogue's Harbor,1920,Grace Miller White ,,,,,
70,Tess of the Storm Country,1914,Grace Miller White |Rupert Hughes ,,,,,
74,Tess of the Storm Country,1922,Grace Miller White |Rupert Hughes ,,,,,
76,Tess of the Storm Country,1960,Grace Miller White |Rupert Hughes ,,,,,
77,Uncle Tom's Cabin,1910,Harriet Beecher Stowe ,,,,,
80,The Pearl of Love,1925,Harriet Beecher Stowe ,,,,,
82,The Place Beyond the Winds,1916,Harriet Theresa Comstock ,,,,,
83,A Son of the Hills,1917,Harriet Theresa Comstock ,,,,,
84,Silent Years,1921,Harriet Theresa Comstock ,,,,,
104,Bright Road,1953,Harry Belafonte |Millard Thomas |Mary Elizabeth Vroman ,,,,,
100,Linda,1929,Harry Tobias |Charles Tobias |Al Sherman |Margaret Prescott Montague ,,,,,
31,Underworld,1937,Harry Woods |Irving Mills |Duke Ellington |Edna Mae Baker ,,,,,
85,Mother's Cry,1930,Helen Grace Carlisle ,,,,,
86,Ramona,1910,Helen Hunt Jackson ,,,,,
87,Ramona,1916,Helen Hunt Jackson ,,,,,
67,Freckles,1960,Henry Vars |By Dunham |Jack Lambert |Gene Stratton-Porter ,,,,,
91,Rebecca of Sunnybrook Farm,1932,James F. Hanley |Charlotte Thompson |Kate Douglas Wiggin ,,,,,
20,Tammy and the Bachelor,1957,Jay Livingston |Ray Evans |Cid Ricketts Sumner ,,,,,
96,Lucy Gallant,1955,Jay Livingston |Ray Evans |Margaret Cousins ,,,,,
21,The Hanging Tree,1959,Jerry Livingston |Mack David |Marty Robbins |Dorothy M. Johnson ,,,,,
34,Has Anybody Seen My Gal,1952,Joe Young |Sam Lewis |Ray Henderson |Harry DeCosta |Joseph Mohr |Franz Gruber |Wendell Hall |Maceo Pinkard |Jack Smith |Roy Turk |Harry Wood ,,,,,
94,I Remember Mama,1948,John Van Druten |Kathryn Anderson McLean ,,,,,
90,Rebecca of Sunnybrook Farm,1917,Kate Douglas Wiggin ,,,,,
93,Nobody's Kid,1921,Kate Langley Bosher ,,,,,
46,Back Street,1961,Ken Darby |Frank Skinner |Fannie Hurst ,,,,,
88,Ramona,1928,L. Wolfe Gilbert |Mabel Wayne |Helen Hunt Jackson ,,,,,
89,Ramona,1936,Mabel Wayne |L. Wolfe Gilbert |William Kernell |Helen Hunt Jackson ,,,,,
97,The Awakening of Helena Richie,1916,Margaret Deland ,,,,,
98,The Iron Woman,1916,Margaret Deland ,,,,,
99,Gone with the Wind,1939,Margaret Mitchell ,,,,,
